,PERMNO,TICKER,DLSTCD,bankrupt,date,year,quarter
0,10000,OMFGA,560.0,0,1987-06-30,1987,2
1,10001,EGAS,233.0,0,2017-08-31,2017,3
2,10002,BTFG,231.0,0,2013-02-28,2013,1
3,10003,GCBK,231.0,0,1995-12-29,1995,4
4,10005,WERC,560.0,0,1991-07-31,1991,3
5,10007,SHRD,560.0,0,1990-10-31,1990,4
6,10008,GACO,551.0,0,1988-11-30,1988,4
7,10009,IROQ,233.0,0,2000-11-30,2000,4
8,10010,CBOT,231.0,0,1995-08-31,1995,3
9,10011,ATCS,233.0,0,1998-02-27,1998,1
10,10012,DPAC,552.0,0,2005-08-31,2005,3
11,10013,AAPI,570.0,0,1987-06-30,1987,2
12,10015,AMFD,231.0,0,1986-07-31,1986,3
13,10016,SCTT,231.0,0,2001-05-31,2001,2
14,10017,CCUR,233.0,0,1988-09-30,1988,3
15,10018,DCIS,552.0,0,1995-11-30,1995,4
16,10019,IFRS,233.0,0,2002-06-28,2002,2
17,10020,KEYC,231.0,0,1993-04-30,1993,2
18,10021,BIRI,231.0,0,1995-12-29,1995,4
19,10024,DOCX,561.0,0,1992-05-29,1992,2
20,10025,AEPI,241.0,0,2017-01-31,2017,1
21,10026,JJSF,100.0,0,2019-12-31,2019,4
22,10027,TNII,233.0,0,1990-03-30,1990,1
23,10028,ELA,100.0,0,2019-12-31,2019,4
24,10029,AIF,233.0,0,1990-08-31,1990,3
25,10031,ANTQ,580.0,0,1989-08-31,1989,3
26,10032,PLXS,100.0,0,2019-12-31,2019,4
27,10033,MABK,341.0,0,1986-11-28,1986,4
28,10034,HCSB,241.0,0,1991-09-30,1991,3
29,10035,GGUY,233.0,0,2003-12-31,2003,4
30,10036,NURO,561.0,0,1991-03-28,1991,1
31,10037,FBCP,233.0,0,2004-05-28,2004,2
32,10038,POCI,560.0,0,1991-01-31,1991,1
33,10039,ATCM,580.0,0,2001-06-29,2001,2
34,10040,HARVY,580.0,0,1989-06-30,1989,2
35,10041,GGGG,560.0,0,1990-05-31,1990,2
36,10042,CAU,232.0,0,2008-03-31,2008,1
37,10043,AATI,233.0,0,1999-06-30,1999,2
38,10044,RMCF,100.0,0,2019-12-31,2019,4
39,10045,OLVR,580.0,0,1987-04-30,1987,2
40,10046,MENU,552.0,0,1995-03-31,1995,1
41,10047,LMNT,570.0,0,1995-01-31,1995,1
42,10048,CTYA,231.0,0,1999-10-29,1999,4
43,10051,HNGR,100.0,0,2019-12-31,2019,4
44,10052,VLVL,551.0,0,1988-03-31,1988,1
45,10053,CDNI,560.0,0,1990-01-31,1990,1
46,10054,BNUI,560.0,0,1987-01-30,1987,1
47,10055,GRAR,552.0,0,1995-08-31,1995,3
48,10056,NMIL,231.0,0,2006-10-31,2006,4
49,10057,AMT,233.0,0,1996-07-31,1996,3
50,10059,OFSLY,231.0,0,1994-04-29,1994,2
51,10060,FSCNY,200.0,0,1998-06-30,1998,2
52,10061,USBK,580.0,0,1990-07-31,1990,3
53,10062,ENSO,561.0,0,1999-09-30,1999,3
54,10063,AHTS,560.0,0,1993-07-30,1993,3
55,10064,TTI,231.0,0,1997-03-31,1997,1
56,10065,ADX,100.0,0,2019-12-31,2019,4
57,10066,FCM,584.0,0,2002-08-30,2002,3
58,10067,HYGA,233.0,0,1987-03-31,1987,1
59,10068,APGI,580.0,0,1986-11-28,1986,4
60,10069,AJIL,231.0,0,1987-01-30,1987,1
61,10070,DIGT,580.0,0,1990-11-30,1990,4
62,10071,AB,231.0,0,1997-08-29,1997,3
63,10072,SMRX,552.0,0,1992-09-30,1992,3
64,10074,ABSI,580.0,0,1996-03-29,1996,1
65,10075,VWRX,233.0,0,1999-07-30,1999,3
66,10076,SCAT,580.0,0,1990-05-31,1990,2
67,10077,STRS,570.0,0,1994-01-31,1994,1
68,10078,JAVA,233.0,0,2010-01-29,2010,1
69,10079,GCCC,233.0,0,1995-03-31,1995,1
70,10080,MHCO,520.0,0,2003-10-31,2003,4
71,10082,ACSE,241.0,0,1995-09-29,1995,3
72,10083,CMTK,560.0,0,1993-09-30,1993,3
73,10084,CRCC,582.0,0,1994-03-31,1994,1
74,10085,UCI,233.0,0,2006-04-28,2006,2
75,10086,LBSC,231.0,0,1994-06-30,1994,2
76,10087,BUTI,233.0,0,2000-10-31,2000,4
77,10088,VRBB,560.0,0,1988-05-31,1988,2
78,10089,ATGI,584.0,0,2005-02-28,2005,1
79,10090,AMSE,231.0,0,1995-07-31,1995,3
80,10091,ITXI,551.0,0,1989-02-28,1989,1
81,10092,KDE,560.0,0,2010-05-28,2010,2
82,10093,AIRC,581.0,0,1990-05-31,1990,2
83,10094,TUES,233.0,0,1997-12-31,1997,4
84,10095,SYGN,233.0,0,1994-12-30,1994,4
85,10096,CIBA,233.0,0,1990-03-30,1990,1
86,10097,FACE,231.0,0,1996-04-30,1996,2
87,10098,POLY,233.0,0,1989-04-28,1989,2
88,10099,ABCI,560.0,0,1987-07-31,1987,3
89,10100,ALRN,552.0,0,2013-03-28,2013,1
90,10101,PACR,233.0,0,1988-07-29,1988,3
91,10103,ACSC,575.0,0,1989-12-29,1989,4
92,10104,ORCL,100.0,0,2019-12-31,2019,4
93,10105,TPPS,300.0,0,1987-08-31,1987,3
94,10106,LNSB,233.0,0,1995-01-31,1995,1
95,10107,MSFT,100.0,0,2019-12-31,2019,4
96,10108,SDS,233.0,0,2005-08-31,2005,3
97,10109,MWSB,233.0,0,1990-08-31,1990,3
98,10112,IFEX,232.0,0,1988-06-30,1988,2
99,10113,AADR,100.0,0,2019-12-31,2019,4
100,10114,AKLM,584.0,0,2004-08-31,2004,3
101,10115,CSBN,233.0,0,1988-06-30,1988,2
102,10116,ACUR,551.0,0,2017-02-28,2017,1
103,10117,UMBE,550.0,0,1987-10-30,1987,4
104,10118,COHY,551.0,0,1988-11-30,1988,4
105,10119,TW,233.0,0,2007-09-28,2007,3
106,10120,PJC,233.0,0,1998-05-29,1998,2
107,10121,MCOR,231.0,0,1991-12-31,1991,4
108,10122,MDBK,233.0,0,2002-10-31,2002,4
109,10123,AK,231.0,0,2002-06-28,2002,2
110,10124,LERN,550.0,0,1987-12-31,1987,4
111,10125,LI,574.0,1,1991-08-30,1991,3
112,10126,OV,231.0,0,2000-07-31,2000,3
113,10127,PBFI,570.0,0,2002-04-30,2002,2
114,10128,DTEK,580.0,0,2001-02-28,2001,1
115,10130,FSTC,231.0,0,1999-07-30,1999,3
116,10131,SBTC,550.0,0,1991-09-30,1991,3
117,10132,NIBC,560.0,0,1989-11-30,1989,4
118,10133,TELQ,560.0,0,1990-10-31,1990,4
119,10134,EGCB,551.0,0,1988-11-30,1988,4
120,10135,FARK,560.0,0,1989-02-28,1989,1
121,10136,CABL,551.0,0,1996-03-29,1996,1
122,10137,AYE,231.0,0,2011-02-28,2011,1
123,10138,TROW,100.0,0,2019-12-31,2019,4
124,10139,ADFC,560.0,0,1989-09-29,1989,3
125,10140,SRCO,241.0,0,1998-06-30,1998,2
126,10141,GNDR,561.0,0,1996-07-31,1996,3
127,10142,IMTC,233.0,0,2000-04-28,2000,2
128,10143,OSIP,233.0,0,2010-06-30,2010,2
129,10144,NICE,561.0,0,1988-09-30,1988,3
130,10145,HON,100.0,0,2019-12-31,2019,4
131,10146,AECE,233.0,0,1988-04-29,1988,2
132,10147,EMC,241.0,0,2016-09-30,2016,3
133,10148,TRAD,580.0,0,1991-04-30,1991,2
134,10149,EBSI,233.0,0,2002-07-31,2002,3
135,10150,TLII,450.0,0,1998-02-27,1998,1
136,10151,AGLS,450.0,0,2015-08-31,2015,3
137,10152,ADTI,580.0,0,1990-05-31,1990,2
138,10153,AH,300.0,0,1988-12-30,1988,4
139,10154,AELNA,233.0,0,1996-02-29,1996,1
140,10155,ELGT,584.0,0,2001-06-29,2001,2
141,10156,JHSL,580.0,0,1991-05-31,1991,2
142,10157,NSBK,231.0,0,1996-12-31,1996,4
143,10158,AMRC,100.0,0,2019-12-31,2019,4
144,10159,ICTX,580.0,0,1990-06-29,1990,2
145,10160,SAND,233.0,0,2003-05-30,2003,2
146,10161,AMX,231.0,0,1993-11-30,1993,4
147,10163,XRIT,233.0,0,2012-05-31,2012,2
148,10164,CAAN,233.0,0,1989-09-29,1989,3
149,10165,LBNK,232.0,0,1988-02-29,1988,1
150,10166,LLEC,500.0,0,1992-10-30,1992,4
151,10167,EVAA,560.0,0,1987-06-30,1987,2
152,10168,ARNX,560.0,0,1989-04-28,1989,2
153,10169,PADS,560.0,0,1987-09-30,1987,3
154,10170,RYFL,552.0,0,2003-05-30,2003,2
155,10171,CTWL,580.0,0,1990-05-31,1990,2
156,10172,GNTE,580.0,0,1991-12-31,1991,4
157,10173,SEAB,233.0,0,1996-02-29,1996,1
158,10174,JNBK,574.0,1,1993-02-26,1993,1
159,10175,BARY,574.0,1,1997-07-31,1997,3
160,10176,TECC,560.0,0,1992-06-30,1992,2
161,10177,DMCO,570.0,0,2003-07-31,2003,3
162,10178,GBFE,552.0,0,1999-02-26,1999,1
163,10179,RCSB,233.0,0,1997-10-31,1997,4
164,10180,AKRX,100.0,0,2019-12-31,2019,4
165,10181,MUNI,580.0,0,1990-03-30,1990,1
166,10182,TECD,100.0,0,2019-12-31,2019,4
167,10183,ERCO,560.0,0,1986-10-31,1986,4
168,10184,ALFE,561.0,0,1992-04-30,1992,2
169,10185,MRLL,233.0,0,1999-11-30,1999,4
170,10186,SWCC,560.0,0,1990-04-30,1990,2
171,10187,HPLX,584.0,0,1998-03-31,1998,1
172,10189,AFAP,550.0,0,1988-02-29,1988,1
173,10190,CLRX,560.0,0,1992-01-31,1992,1
174,10191,TXEL,560.0,0,1990-03-30,1990,1
175,10192,MSCA,231.0,0,2001-06-29,2001,2
176,10193,OSPY,570.0,0,1994-08-31,1994,3
177,10194,SOMR,233.0,0,2000-09-29,2000,3
178,10195,CTCOB,331.0,0,2003-09-30,2003,3
179,10198,DELA,560.0,0,1991-10-31,1991,4
180,10199,ARBR,231.0,0,1998-03-31,1998,1
181,10200,RGEN,100.0,0,2019-12-31,2019,4
182,10201,AT,100.0,0,2019-12-31,2019,4
183,10202,CWCC,233.0,0,1988-08-31,1988,3
184,10203,PSBN,233.0,0,1993-09-30,1993,3
185,10204,UNTL,560.0,0,1987-05-29,1987,2
186,10205,LSBX,233.0,0,2010-11-30,2010,4
187,10206,ESPC,560.0,0,1990-05-31,1990,2
188,10207,FUND,100.0,0,2019-12-31,2019,4
189,10208,ISTC,561.0,0,1992-05-29,1992,2
190,10210,FSBG,550.0,0,1991-11-29,1991,4
191,10211,WES,231.0,0,2006-02-28,2006,1
192,10212,IFRA,231.0,0,1996-06-28,1996,2
193,10213,ATVC,231.0,0,1996-12-31,1996,4
194,10214,SIGN,233.0,0,1998-01-30,1998,1
195,10215,VVCO,560.0,0,1987-08-31,1987,3
196,10216,XCED,552.0,0,2001-04-30,2001,2
197,10218,AFPC,552.0,0,1999-03-31,1999,1
198,10219,TLSS,231.0,0,1987-05-29,1987,2
199,10220,BWXT,100.0,0,2019-12-31,2019,4
200,10221,IMSR,580.0,0,1988-06-30,1988,2
201,10222,FTTR,560.0,0,1996-02-29,1996,1
202,10223,CIS,233.0,0,2014-03-31,2014,1
203,10224,SHIP,233.0,0,1993-05-28,1993,2
204,10225,BEAM,233.0,0,2014-04-30,2014,2
205,10227,KISC,331.0,0,1988-10-31,1988,4
206,10228,IFND,550.0,0,1990-06-29,1990,2
207,10229,NACS,500.0,0,1988-03-31,1988,1
208,10230,ANDB,231.0,0,2001-10-31,2001,4
209,10231,CBNH,231.0,0,1997-08-29,1997,3
210,10232,ESBK,100.0,0,2019-12-31,2019,4
211,10233,ABC,261.0,0,1986-01-31,1986,1
212,10235,FOTO,584.0,0,2001-08-31,2001,3
213,10236,WEBS,233.0,0,1990-10-31,1990,4
214,10237,SURG,570.0,0,1988-09-30,1988,3
215,10238,GLK,241.0,0,2008-02-29,2008,1
216,10239,PTVCB,100.0,0,2019-12-31,2019,4
217,10240,WOMN,561.0,0,1988-05-31,1988,2
218,10241,PA,241.0,0,1988-12-30,1988,4
219,10242,TRFI,231.0,0,1998-08-31,1998,3
220,10243,AFED,231.0,0,1995-03-31,1995,1
221,10244,UDET,584.0,0,2002-06-28,2002,2
222,10245,SHLY,581.0,0,1992-11-30,1992,4
223,10246,MIDS,233.0,0,1996-02-29,1996,1
224,10247,GTOS,584.0,0,1999-12-31,1999,4
225,10248,CIMC,551.0,0,1996-02-29,1996,1
226,10249,GIDE,560.0,0,1988-10-31,1988,4
227,10250,MRCO,560.0,0,1997-12-31,1997,4
228,10251,FLGF,231.0,0,1992-11-30,1992,4
229,10252,INDB,100.0,0,2019-12-31,2019,4
230,10253,DSS,100.0,0,2019-12-31,2019,4
231,10254,STRL,300.0,0,1987-08-31,1987,3
232,10255,VERT,231.0,0,1988-08-31,1988,3
233,10256,MLOG,552.0,0,2001-07-31,2001,3
234,10257,DLHC,100.0,0,2019-12-31,2019,4
235,10258,CLDX,100.0,0,2019-12-31,2019,4
236,10259,SIGM,570.0,0,2018-08-31,2018,3
237,10260,ASVD,550.0,0,1990-08-31,1990,3
238,10261,MTNR,231.0,0,1994-01-31,1994,1
239,10262,CSAI,560.0,0,1990-12-31,1990,4
240,10263,MRMK,550.0,0,1991-01-31,1991,1
241,10264,UNIV,550.0,0,1989-03-31,1989,1
242,10265,FMFS,231.0,0,1992-05-29,1992,2
243,10266,STLG,231.0,0,1994-08-31,1994,3
244,10267,NIEX,231.0,0,1992-08-31,1992,3
245,10270,SVCO,560.0,0,1987-12-31,1987,4
246,10271,MASB,233.0,0,2008-09-30,2008,3
247,10272,TKLC,233.0,0,2012-01-31,2012,1
248,10273,LDMK,560.0,0,1992-06-30,1992,2
249,10274,BETA,560.0,0,1989-09-29,1989,3
250,10275,SNTK,584.0,0,2004-11-30,2004,4
251,10278,WTI,233.0,0,1998-03-31,1998,1
252,10279,GENI,200.0,0,1992-01-31,1992,1
253,10280,PRCM,580.0,0,1987-07-31,1987,3
254,10281,AUTO,582.0,0,1998-07-31,1998,3
255,10282,BRDL,400.0,0,1997-01-31,1997,1
256,10283,APOP,560.0,0,1987-12-31,1987,4
257,10285,AIM,574.0,1,1992-01-31,1992,1
258,10286,PROS,585.0,0,1997-01-31,1997,1
259,10287,ATI,233.0,0,1992-05-29,1992,2
260,10288,BEAR,233.0,0,1988-09-30,1988,3
261,10289,ANME,560.0,0,1990-07-31,1990,3
262,10290,HGIC,233.0,0,2012-04-30,2012,2
263,10291,FAMI,560.0,0,1988-12-30,1988,4
264,10293,AINS,580.0,0,1985-10-31,1985,4
265,10294,HVT,100.0,0,2019-12-31,2019,4
266,10295,MEMB,561.0,0,1988-08-31,1988,3
267,10296,GSSC,231.0,0,1994-12-30,1994,4
268,10297,LSBG,231.0,0,2017-01-31,2017,1
269,10298,AQSI,550.0,0,1992-08-31,1992,3
270,10299,LLTC,241.0,0,2017-03-31,2017,1
271,10300,WCSI,231.0,0,1992-08-31,1992,3
272,10301,TLOG,560.0,0,1990-05-31,1990,2
273,10302,CY,100.0,0,2019-12-31,2019,4
274,10303,PMCP,580.0,0,2000-06-30,2000,2
275,10304,AMFI,574.0,1,2010-04-30,2010,2
276,10307,MBSI,233.0,0,2000-10-31,2000,4
277,10308,TMP,100.0,0,2019-12-31,2019,4
278,10309,SKAN,231.0,0,1999-07-30,1999,3
279,10310,TOUR,580.0,0,1988-07-29,1988,3
280,10311,ALLS,560.0,0,1988-07-29,1988,3
281,10312,PTHI,560.0,0,1986-09-30,1986,3
282,10314,AMCI,560.0,0,1988-08-31,1988,3
283,10315,NVID,570.0,0,1988-02-29,1988,1
284,10316,CMPL,560.0,0,1993-06-30,1993,2
285,10317,SOUT,231.0,0,1988-12-30,1988,4
286,10318,BCPC,100.0,0,2019-12-31,2019,4
287,10319,FIBI,233.0,0,1994-08-31,1994,3
288,10320,AMBI,550.0,0,1990-11-30,1990,4
289,10321,AMO,231.0,0,1987-08-31,1987,3
290,10322,BFBS,233.0,0,1991-03-28,1991,1
291,10323,CADS,561.0,0,1987-08-31,1987,3
292,10324,GENZ,261.0,0,2011-04-29,2011,2
293,10325,CMAL,580.0,0,2001-05-31,2001,2
294,10326,NYTS,560.0,0,1996-09-30,1996,3
295,10327,USBA,231.0,0,1990-03-30,1990,1
296,10328,SOMA,231.0,0,1997-06-30,1997,2
297,10329,SWAL,560.0,0,1992-04-30,1992,2
298,10330,MOVY,560.0,0,1989-12-29,1989,4
299,10331,TOWR,233.0,0,1988-06-30,1988,2
300,10332,CANA,560.0,0,1988-12-30,1988,4
301,10333,XOMA,100.0,0,2019-12-31,2019,4
302,10334,CSFS,550.0,0,1990-02-28,1990,1
303,10335,SSSL,560.0,0,1989-04-28,1989,2
304,10336,OPER,560.0,0,1989-01-31,1989,1
305,10337,PSSB,233.0,0,1996-09-30,1996,3
306,10338,APOL,231.0,0,1993-03-31,1993,1
307,10339,CBCB,552.0,0,1995-06-30,1995,2
308,10340,FGBI,231.0,0,1987-09-30,1987,3
309,10341,ABBK,233.0,0,2004-04-30,2004,2
310,10342,IMDC,231.0,0,2006-03-31,2006,1
311,10343,INF,231.0,0,1996-12-31,1996,4
312,10344,LINN,233.0,0,1994-08-31,1994,3
313,10345,CRLY,561.0,0,1992-07-31,1992,3
314,10346,FUTR,560.0,0,2002-12-31,2002,4
315,10347,ASTI,550.0,0,1989-10-31,1989,4
316,10350,MPO,584.0,0,1993-03-31,1993,1
317,10351,PCOR,233.0,0,1996-02-29,1996,1
318,10352,MRTA,233.0,0,1996-03-29,1996,1
319,10353,SXCL,570.0,0,2016-03-31,2016,1
320,10354,ICBI,560.0,0,1991-07-31,1991,3
321,10355,DJCO,100.0,0,2019-12-31,2019,4
322,10358,ARI,450.0,0,1995-09-29,1995,3
323,10359,MALL,580.0,0,1989-01-31,1989,1
324,10360,AVDL,233.0,0,1999-07-30,1999,3
325,10361,ATOG,570.0,0,1996-05-31,1996,2
326,10362,BUTL,580.0,0,2006-04-28,2006,2
327,10363,AMAG,100.0,0,2019-12-31,2019,4
328,10364,AR,233.0,0,1999-11-30,1999,4
329,10365,AMIS,560.0,0,1985-06-28,1985,2
330,10366,SBKSA,560.0,0,1994-06-30,1994,2
331,10367,HSLD,241.0,0,1991-03-28,1991,1
332,10368,TSBK,233.0,0,1988-08-31,1988,3
333,10369,WOBS,560.0,0,1991-03-28,1991,1
334,10370,SIBR,570.0,0,1989-03-31,1989,1
335,10371,CLZR,231.0,0,2010-01-29,2010,1
336,10372,AST,233.0,0,1988-07-29,1988,3
337,10373,AMSS,550.0,0,1985-05-31,1985,2
338,10374,DMET,560.0,0,1991-12-31,1991,4
339,10375,TCF,231.0,0,2019-07-31,2019,3
340,10376,NSSX,233.0,0,1997-09-30,1997,3
341,10377,CLIF,580.0,0,1988-09-30,1988,3
342,10378,OVAB,561.0,0,1988-08-31,1988,3
343,10379,IGEI,231.0,0,1989-11-30,1989,4
344,10382,ASTE,100.0,0,2019-12-31,2019,4
345,10383,CYTO,233.0,0,2008-05-30,2008,2
346,10384,RUDY,233.0,0,1997-12-31,1997,4
347,10385,ATNN,561.0,0,1992-05-29,1992,2
348,10386,AGIS,561.0,0,1999-09-30,1999,3
349,10387,FLAX,580.0,0,1991-01-31,1991,1
350,10388,TWK,520.0,0,2003-03-31,2003,1
351,10389,NEEC,231.0,0,1990-05-31,1990,2
352,10390,GHSI,552.0,0,1997-01-31,1997,1
353,10391,CFSL,233.0,0,1989-09-29,1989,3
354,10392,PWSB,231.0,0,1993-12-31,1993,4
355,10393,TDMK,231.0,0,1995-03-31,1995,1
356,10394,COSCB,341.0,0,1997-04-30,1997,2
357,10395,NAVG,233.0,0,2019-05-31,2019,2
358,10396,CPRC,570.0,0,1988-12-30,1988,4
359,10397,WERN,100.0,0,2019-12-31,2019,4
360,10398,LEAF,231.0,0,2000-04-28,2000,2
361,10401,T,231.0,0,2005-11-30,2005,4
362,10403,WOWI,574.0,1,1988-05-31,1988,2
363,10404,DINE,233.0,0,2010-12-31,2010,4
364,10405,IVMI,561.0,0,1989-04-28,1989,2
365,10406,DOSE,231.0,0,1999-04-30,1999,2
366,10407,ALET,233.0,0,1998-06-30,1998,2
367,10408,HELP,580.0,0,1988-02-29,1988,1
368,10409,DIET,551.0,0,1988-09-30,1988,3
369,10410,JMED,231.0,0,2000-08-31,2000,3
370,10411,RLAB,231.0,0,1997-04-30,1997,2
371,10412,GECM,584.0,0,2000-02-29,2000,1
372,10413,ROYL,242.0,0,1991-07-31,1991,3
373,10414,ELDC,233.0,0,1994-03-31,1994,1
374,10415,NTM,233.0,0,1994-01-31,1994,1
375,10416,BILT,231.0,0,1989-12-29,1989,4
376,10417,ALOY,550.0,0,1991-12-31,1991,4
377,10418,ASAA,520.0,0,2004-11-30,2004,4
378,10419,CRTV,552.0,0,1996-12-31,1996,4
379,10420,RDVA,552.0,0,1992-07-31,1992,3
380,10421,SKYW,100.0,0,2019-12-31,2019,4
381,10422,AILP,552.0,0,2001-09-28,2001,3
382,10423,SUND,231.0,0,2001-08-31,2001,3
383,10424,CLEV,233.0,0,1987-07-31,1987,3
384,10425,RBCO,231.0,0,1998-06-30,1998,2
385,10426,SFH,584.0,0,1995-04-28,1995,2
386,10427,FILM,580.0,0,1988-02-29,1988,1
387,10429,ASKI,233.0,0,1994-09-30,1994,3
388,10430,CPSI,560.0,0,1988-12-30,1988,4
389,10431,SCFB,231.0,0,1993-01-29,1993,1
390,10432,ARIT,233.0,0,1993-12-31,1993,4
391,10433,BABY,580.0,0,1990-06-29,1990,2
392,10434,LA,561.0,0,1997-12-31,1997,4
393,10435,FFCA,231.0,0,1990-08-31,1990,3
394,10437,RAWC,233.0,0,1989-03-31,1989,1
395,10438,HFSF,233.0,0,1996-05-31,1996,2
396,10439,CELS,233.0,0,2000-01-31,2000,1
397,10440,WATFY,575.0,0,1988-12-30,1988,4
398,10441,XYVI,560.0,0,1991-04-30,1991,2
399,10442,KLLM,573.0,0,2000-07-31,2000,3
400,10443,FRPH,100.0,0,2019-12-31,2019,4
401,10446,PKA,551.0,0,1999-05-28,1999,2
402,10447,THFI,550.0,0,1992-09-30,1992,3
403,10448,LGUM,561.0,0,1988-04-29,1988,2
404,10449,BKCT,233.0,0,2002-08-30,2002,3
405,10450,FMDC,233.0,0,1990-04-30,1990,2
406,10451,FHPC,241.0,0,1997-02-28,1997,1
407,10453,BFEN,570.0,0,2005-08-31,2005,3
408,10454,GDEX,552.0,0,1993-10-29,1993,4
409,10455,AQS,584.0,0,1998-03-31,1998,1
410,10456,CEMX,233.0,0,2000-06-30,2000,2
411,10457,BFSI,233.0,0,1997-04-30,1997,2
412,10458,SOSA,231.0,0,1998-07-31,1998,3
413,10459,GNMR,233.0,0,1988-03-31,1988,1
414,10460,AME,231.0,0,1997-07-31,1997,3
415,10461,DIBK,231.0,0,1998-08-31,1998,3
416,10462,CGNE,233.0,0,1997-05-30,1997,2
417,10463,REFR,100.0,0,2019-12-31,2019,4
418,10464,CCBK,233.0,0,1989-12-29,1989,4
419,10465,ACPT,233.0,0,1990-04-30,1990,2
420,10466,BIGI,233.0,0,1988-08-31,1988,3
421,10467,WRNB,231.0,0,2002-12-31,2002,4
422,10468,ACRL,560.0,0,1988-12-30,1988,4
423,10469,DYTM,550.0,0,1988-05-31,1988,2
424,10470,MOKG,233.0,0,1988-11-30,1988,4
425,10471,QBIO,561.0,0,1992-06-30,1992,2
426,10472,SHOE,231.0,0,1988-02-29,1988,1
427,10473,TIPT,233.0,0,1987-08-31,1987,3
428,10474,EORR,550.0,0,1991-05-31,1991,2
429,10475,RICH,233.0,0,1988-10-31,1988,4
430,10476,BMRG,233.0,0,1993-12-31,1993,4
431,10477,AVSS,552.0,0,1992-10-30,1992,4
432,10478,USAB,560.0,0,1992-06-30,1992,2
433,10481,SUBBA,200.0,0,1994-09-30,1994,3
434,10482,WRII,560.0,0,1990-02-28,1990,1
435,10483,ACGI,233.0,0,1989-08-31,1989,3
436,10484,WSTNA,233.0,0,2001-06-29,2001,2
437,10485,FAMB,550.0,0,1990-10-31,1990,4
438,10486,CBCT,560.0,0,1991-07-31,1991,3
439,10487,AD,261.0,0,1986-06-30,1986,2
440,10488,ALGI,520.0,0,2006-03-31,2006,1
441,10489,ASBS,560.0,0,1988-08-31,1988,3
442,10490,GART,233.0,0,1988-08-31,1988,3
443,10491,FATV,450.0,0,1990-09-28,1990,3
444,10492,SUHC,241.0,0,1992-10-30,1992,4
445,10493,NEOL,560.0,0,1995-10-31,1995,4
446,10494,SWCB,231.0,0,1998-12-31,1998,4
447,10496,AWCSA,561.0,0,1996-08-30,1996,3
448,10497,TEXT,550.0,0,1987-12-31,1987,4
449,10498,GRBC,573.0,0,1991-02-28,1991,1
450,10499,NHIC,233.0,0,1989-08-31,1989,3
451,10500,BKMD,231.0,0,1995-07-31,1995,3
452,10501,AMWD,100.0,0,2019-12-31,2019,4
453,10502,AMMI,550.0,0,1989-07-31,1989,3
454,10503,TRBK,570.0,0,1991-01-31,1991,1
455,10504,BPCO,580.0,0,1992-02-28,1992,1
456,10505,JLUB,233.0,0,1991-10-31,1991,4
457,10506,IBIN,200.0,0,1998-03-31,1998,1
458,10507,MDCI,233.0,0,2014-09-30,2014,3
459,10510,CBFC,550.0,0,1988-04-29,1988,2
460,10511,CURY,580.0,0,1989-04-28,1989,2
461,10512,IGNE,560.0,0,1989-06-30,1989,2
462,10513,LIPO,242.0,0,2000-05-31,2000,2
463,10514,TWMC,100.0,0,2019-12-31,2019,4
464,10515,FDGT,233.0,0,1998-12-31,1998,4
465,10516,ADM,100.0,0,2019-12-31,2019,4
466,10517,AAN,100.0,0,2019-12-31,2019,4
467,10518,PSWA,233.0,0,1987-05-29,1987,2
468,10519,IFEI,200.0,0,1993-03-31,1993,1
469,10520,BERS,552.0,0,1994-12-30,1994,4
470,10521,CAFE,560.0,0,1988-08-31,1988,3
471,10522,TRIA,551.0,0,1989-01-31,1989,1
472,10523,ALUR,580.0,0,1989-01-31,1989,1
473,10526,SLHC,241.0,0,1989-09-29,1989,3
474,10527,MVII,233.0,0,1999-09-30,1999,3
475,10528,COMM,342.0,0,1991-07-31,1991,3
476,10529,CSEC,231.0,0,1987-12-31,1987,4
477,10530,VIVO,100.0,0,2019-12-31,2019,4
478,10531,MTLM,552.0,0,2000-11-30,2000,4
479,10534,FCBK,550.0,0,1991-12-31,1991,4
480,10535,FLWR,560.0,0,1989-08-31,1989,3
481,10536,EDCO,561.0,0,2001-04-30,2001,2
482,10537,SYNT,233.0,0,1995-11-30,1995,4
483,10538,READ,560.0,0,1991-08-30,1991,3
484,10539,LEXT,560.0,0,1988-02-29,1988,1
485,10542,NESB,560.0,0,1993-03-31,1993,1
486,10543,CSEL,560.0,0,1991-03-28,1991,1
487,10544,NCEL,200.0,0,1995-09-29,1995,3
488,10545,THI,331.0,0,2000-06-30,2000,2
489,10546,RSLA,231.0,0,1993-04-30,1993,2
490,10547,CLFD,100.0,0,2019-12-31,2019,4
491,10548,NETW,560.0,0,1988-08-31,1988,3
492,10549,WHOA,560.0,0,1989-01-31,1989,1
493,10550,PDEX,100.0,0,2019-12-31,2019,4
494,10551,GROV,233.0,0,1997-03-31,1997,1
495,10552,FSBK,490.0,0,1989-04-28,1989,2
496,10553,FSEB,231.0,0,1990-09-28,1990,3
497,10554,PNCH,550.0,0,1987-10-30,1987,4
498,10555,AMEI,241.0,0,1995-08-31,1995,3
499,10556,STAR,550.0,0,1991-04-30,1991,2
500,10557,GEOX,560.0,0,1994-05-31,1994,2
501,10558,WRPS,233.0,0,1988-04-29,1988,2
502,10559,DG,231.0,0,1986-10-31,1986,4
503,10560,ABY,231.0,0,2007-10-31,2007,4
