,PERMNO,TICKER,DLSTCD,bankrupt,date,year,quarter
12065,67192,CNY,570.0,0,1994-08-31,1994,3
12066,67193,RBN,233.0,0,2013-02-28,2013,1
12067,67205,CCA,233.0,0,1988-09-30,1988,3
12068,67213,EKR,584.0,0,1998-05-29,1998,2
12069,67221,ESD,574.0,1,1988-08-31,1988,3
12070,67222,ROGI,560.0,0,1987-11-30,1987,4
12071,67248,GMI,588.0,0,1997-02-28,1997,1
12072,67256,HER,233.0,0,1986-04-30,1986,2
12073,67257,RBSN,580.0,0,1990-10-31,1990,4
12074,67264,BED,233.0,0,2006-05-31,2006,2
12075,67272,IPT,233.0,0,1998-03-31,1998,1
12076,67280,TCD,574.0,1,1989-03-31,1989,1
12077,67299,KYC,574.0,1,1991-01-31,1991,1
12078,67300,RNIC,231.0,0,2001-02-28,2001,1
12079,67301,LPP,450.0,0,1988-12-30,1988,4
12080,67328,IV,233.0,0,2000-09-29,2000,3
12081,67329,ROBD,560.0,0,1986-05-30,1986,2
12082,67336,MJR,231.0,0,1992-09-30,1992,3
12083,67344,RIO,241.0,0,1990-06-29,1990,2
12084,67345,ROBV,561.0,0,2003-10-31,2003,4
12085,67352,SFI,574.0,1,1987-06-30,1987,2
12086,67360,UTL,100.0,0,2019-12-31,2019,4
12087,67361,ROCK,233.0,0,1985-06-28,1985,2
12088,67379,WHP,584.0,0,1989-09-29,1989,3
12089,67380,ROCF,561.0,0,1990-08-31,1990,3
12090,67387,AML,300.0,0,1987-10-30,1987,4
12091,67396,ROCL,560.0,0,1988-05-31,1988,2
12092,67408,BBE,231.0,0,1992-03-31,1992,1
12093,67409,RWEL,580.0,0,1986-12-31,1986,4
12094,67416,BH,300.0,0,1987-03-31,1987,1
12095,67417,RKWD,560.0,0,1988-10-31,1988,4
12096,67425,RMUC,560.0,0,1993-01-29,1993,1
12097,67432,BSH,574.0,1,2004-03-31,2004,1
12098,67433,RMMI,550.0,0,1989-02-28,1989,1
12099,67440,CRM,231.0,0,1989-11-30,1989,4
12100,67441,RGAS,233.0,0,1986-07-31,1986,3
12101,67459,CLE,233.0,0,2007-05-31,2007,2
12102,67467,BIG,100.0,0,2019-12-31,2019,4
12103,67475,DEP,241.0,0,1991-02-28,1991,1
12104,67483,DEP,241.0,0,1991-02-28,1991,1
12105,67484,RODM,560.0,0,1991-06-28,1991,2
12106,67491,EEX,231.0,0,2002-11-29,2002,4
12107,67504,FNF,300.0,0,1985-12-31,1985,4
12108,67512,FCR,574.0,1,1990-11-30,1990,4
12109,67520,FXM,233.0,0,1986-03-31,1986,1
12110,67539,FMP,231.0,0,1990-11-30,1990,4
12111,67547,FAU,233.0,0,1990-03-30,1990,1
12112,67555,GHO,574.0,1,1990-04-30,1990,2
12113,67556,UGCO,550.0,0,1994-09-30,1994,3
12114,67563,GSB,233.0,0,2002-11-29,2002,4
12115,67564,ROPK,233.0,0,1995-11-30,1995,4
12116,67571,GNT,231.0,0,1998-06-30,1998,2
12117,67598,PEAK,100.0,0,2019-12-31,2019,4
12118,67600,HMO,233.0,0,1986-10-31,1986,4
12119,67619,ITB,500.0,0,1997-10-31,1997,4
12120,67620,RSTO,574.0,1,1995-04-28,1995,2
12121,67627,KJI,235.0,0,1990-10-31,1990,4
12122,67628,RSTOB,574.0,1,1995-04-28,1995,2
12123,67635,LFG,300.0,0,1987-12-31,1987,4
12124,67636,ROSS,580.0,0,1988-02-29,1988,1
12125,67643,MGS,574.0,1,1989-07-31,1989,3
12126,67651,MEP,231.0,0,1987-03-31,1987,1
12127,67652,AWII,233.0,0,1998-05-29,1998,2
12128,67678,MMD,233.0,0,2004-04-30,2004,2
12129,67679,TSAR,580.0,0,2001-07-31,2001,3
12130,67686,NRM,331.0,0,1989-12-29,1989,4
12131,67687,RCOM,580.0,0,1986-01-31,1986,1
12132,67694,NLI,584.0,0,1992-01-31,1992,1
12133,67707,LAB,231.0,0,1994-08-31,1994,3
12134,67708,RSE,233.0,0,2004-11-30,2004,4
12135,67715,SBA,233.0,0,1999-09-30,1999,3
12136,67723,SIE,233.0,0,2008-02-29,2008,1
12137,67731,WTR,233.0,0,1988-05-31,1988,2
12138,67732,ROW,584.0,0,2006-09-29,2006,3
12139,67758,SOI,231.0,0,1990-03-30,1990,1
12140,67759,RASL,231.0,0,1988-03-31,1988,1
12141,67766,SRG,520.0,0,1989-11-30,1989,4
12142,67774,TRP,100.0,0,2019-12-31,2019,4
12143,67775,ROYG,560.0,0,1991-05-31,1991,2
12144,67782,TBS,300.0,0,1987-08-31,1987,3
12145,67790,UDC,574.0,1,1995-04-28,1995,2
12146,67791,RPETY,550.0,0,1989-10-31,1989,4
12147,67803,WPB,574.0,1,1993-04-30,1993,2
12148,67838,CSS,100.0,0,2019-12-31,2019,4
12149,67846,CRE,574.0,1,1988-03-31,1988,1
